,,Cash& Cash equivalents,,,Interest Expense ($K),,,Interest ratio coverage,,Total liabilities net minority interest,,,Shareholders' Equity excl. Minority interest,,,D/E Ratio,1.38,"median, not average",Total Debt/E Ratio,,Total debt,,Total debt,,Current assets,Current Liabilities,,Operating Cash Flow,Current ratio,Cash ratio,Working Capital,Current cash debt coverage,Average current liabilities,,Operating Income,,,EBIT,,,,Interest Coverage ratio (EBIT),,EBITDA,Interest Coverage ratio (EBITDA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ticker,12/30/2022,12/30/2019,,12/30/2022,12/30/2019,comments,12/30/2022,,12/30/2022,12/30/2019,,12/30/2022,12/30/2019,,12/30/2022,12/30/2019,,12/30/2022,,12/30/2022,12/30/2019,CAGR debt,,12/30/2022,12/30/2022,12/30/2021,12/30/2022,12/30/2022,,12/30/2022,12/30/2022,,,12/30/2022,12/30/2019,,12/30/2022,12/30/2019,CHANGE%,,12/30/2022,,12/30/2022,12/30/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAYTHEON TECHNOLOGIES CORPORATION (XNYS:RTX),RTX," $6,220,000 "," $7,378,000 ",,"1,276,000","1,611,000",,4.87,," $84,650,000 "," $95,390,000 ",," $72,632,000 "," $41,774,000 ",,1.17,2.28,,0.46,," $33,500,000 "," $45,792,000 ",-10%,," $42,443,000 "," $39,114,000 "," $35,449,000 ","7,168,000",1.09,0.16," 3,329,000 ",0.19 ," $37,281,500.00 ",," $5,414,000 "," $8,966,000 ",," $7,303,000 "," $9,854,000 ",-26%,,5.72,,11411000,8.94 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INSEEGO CORP. (XNAS:INSG),INSG," $7,143 "," $12,074 ",,"8,606",0,,0.83,," $229,135 "," $198,731 ",," $-70,118 "," $-37,238 ",,3.27,5.34,,-2.36,," $165,346 "," $148,059 ",4%,," $78,356 "," $56,963 "," $74,830 ","-33,289",1.38,0.13," 21,393 ",(0.51)," $65,896.50 ",," $-54,904 "," $-19,484 ",," $-59,828 "," $-19,484 ",-207%,,-6.95,,-29158,(3.39),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"L3HARRIS TECHNOLOGIES, INC. (XNYS:LHX)",LHX," $880,000 "," $824,000 ",,"279,000","217,000",,3.15,," $14,900,000 "," $14,299,000 ",," $18,523,000 "," $22,740,000 ",,0.80,0.63,,0.42,," $7,786,000 "," $781,000 ",115%,," $6,754,000 "," $5,776,000 "," $3,521,000 ","2,158,000",1.17,0.15," 978,000 ",0.46 ," $4,648,500.00 ",," $1,929,000 "," $1,182,000 ",," $1,552,000 "," $1,710,000 ",-9%,,5.56,,3310000,11.86 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ECHOSTAR CORPORATION (XNAS:SATS),SATS," $704,541 "," $1,519,431 ",,"57,170","251,016",,12.32,," $2,599,948 "," $3,408,745 ",," $3,502,619 "," $3,669,805 ",,0.74,0.93,,0.47,," $1,650,563 "," $2,501,811 ",-13%,," $2,125,381 "," $422,831 "," $460,123 ","529,605",5.03,1.67," 1,702,550 ",1.20 ," $441,477.00 ",," $190,355 "," $73,077 ",," $290,393 "," $157,851 ",84%,,5.08,,696383,12.18 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telesat Corporation (XNAS:TSAT),TSAT," $1,677,792 "," $818,378 ",,"221,756","271,452",,7.57,," $4,643,891 "," $4,121,257 ",*2020 not 2019," $480,365 "," $1,459,936 ",,9.67,2.82,,8.01,," $3,850,081 "," $3,216,203 ",6%,," $1,788,288 "," $171,396 "," $181,955 ","228,848",10.43,9.79," 1,616,892 ",1.30 ," $176,675.50 ",," $296,453 "," $479,151 ",," $191,568 "," $473,772 ",-60%,,0.86,,523663,2.36 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRIDIUM COMMUNICATIONS INC. (XNAS:IRDM),IRDM," $168,770 "," $223,561 ",,"65,089","115,396",,2.59,," $1,825,456 "," $2,164,275 ",," $1,128,555 "," $1,459,282 ",,1.62,1.48,,1.32,," $1,487,185 "," $1,776,370 ",-6%,," $306,204 "," $141,577 "," $108,836 ","344,729",2.16,1.19," 164,627 ",2.75 ," $125,206.50 ",," $76,679 "," $10,120 ",," $74,103 "," $-102,723 ",172%,,1.14,,378774,5.82 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILAT SATELLITE NETWORKS LTD. (XNAS:GILT),GILT," $86,591 "," $74,778 ",,"2,818","2,617",,30.73,," $141,286 "," $138,248 ",," $244,125 "," $253,588 ",,0.58,0.55,,0.02,," $3,831 "," $13,331 ",-34%,," $215,054 "," $125,787 "," $109,607 ","10,814",1.71,0.69," 89,267 ",0.09 ," $117,697.00 ",," $10,724 "," $25,572 ",," $9,953 "," $25,572 ",-61%,,3.53,,22332,7.92 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sprott ESG Gold ETF (ARCX:SESG),SESG.PA," $1,047,000 "," $1,155,300 ",,"102,000","144,200",,10.26,," $6,949,000 "," $6,976,700 ",," $5,596,000 "," $6,173,400 ",,1.24,1.13,,0.79,," $4,393,000 "," $4,469,200 ",-1%,," $2,190,000 "," $1,643,000 "," $2,528,000 ","1,476,000",1.33,0.64," 547,000 ",0.71 ," $2,085,500.00 ",," $368,000 "," $329,400 ",," $154,000 "," $343,700 ",-55%,,1.51,,1499000,14.70 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(10/30),HEI," $139,504 "," $57,001 ",,"6,386","21,695",,21.85,," $1,119,589 "," $1,274,551 ",," $2,648,306 "," $1,694,660 ",,0.42,0.75,,0.11,," $290,274 "," $561,955 ",-20%,," $1,152,730 "," $420,859 "," $294,880 ","466,562",2.74,0.33," 731,871 ",1.30 ," $357,869.50 ",," $496,844 "," $457,097 ",," $497,409 "," $459,536 ",8%,,77.89,,593742,92.98 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
