Figures are in millions and in USD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galactic Groups,Galaxies,Exchange,Ticker,Planets,Business description,Volume,Stock Price,STELLAR,Market Cap,% REV Space,REV Space (figures 2021) ,P/E,Revenue 2021 ,Revenue 2020,Revenue 2019 ,Revenue 2018 ,Revenue 2017,Revenue 2016 ,Cumulative annual revenue growth rate (2016-2021),Revenue change (%) ,Profit 2021,Profit 2020,Profit 2019,Profit 2018,Profit 2017,Profit 2016,Cumulative Annual Profit growth rate (2016-2021),Profit Change %,
ComNet,Navigation & Mapping,NY Stock Exchange,RTX [XNYS],RAYTHEON TECHNOLOGIES CORPORATION (XNYS:RTX),"Raytheon Technologies Corporation is an aerospace and defense company. The Company's operations are classified into four principal business segments: Collins Aerospace (Collins), Pratt & Whitney, Raytheon Intelligence & Space (RIS) and Raytheon Missiles & Defense (RMD). Its Collins segment is a provider of technologically advanced aerospace and defense products and aftermarket service solutions for aircraft manufacturers, airlines, and regional, business and general aviation, as well as for defense and commercial space operations. Pratt & Whitney is engaged in supplying aircraft engines for commercial, military, business jet and general aviation customers. RIS segment is a provider of integrated space, communication and sensor systems, and cyber and software solutions to intelligence, defense, federal and commercial customers. RMD segment is a provider of end-to-end solutions for United States and foreign government customers designed to detect, track and engage threats.","3,654", $96.91 ,0.0026,"141,599,300,000.00",59.00%,"37,988.92",25.89,"64,388","56,587.00","45,349.00","45,349.00","59,837.00","28,528.00",17.68%,125.70%,"3,897.00","-3,109.00","3,510.00","5,269.00","4,552.00","5,065.00",-5%,-23.06%,
ComNet,Navigation & Mapping,XNAS|NASDAQ,INSG [XNAS],INSEEGO CORP. (XNAS:INSG),"Inseego Corp. is an engaged in the designing and development of fixed and mobile wireless solutions, Industrial Internet of things (IIoT) and cloud solutions for service providers, small and medium-sized businesses, governments, and consumers around the globe. The Company’s product portfolio consists of fixed and mobile device-to-cloud solutions, which provides end-to-end IoT services with deep business intelligence. Its businesses include IoT and Mobile Solutions, and Telematics and Asset Tracking Business/Enterprise SaaS Solutions. Its IoT business focuses on addressing applications for a range of markets, including large enterprise verticals and IIoT markets. Its IoT & Mobile Solutions also includes Inseego Subscribe. It designs, develops and sells a range of asset management and monitoring systems using global positioning system (GPS) satellite positioning, advanced cellular communications and advanced sensory technologies, through its subsidiary, DigiCore Holdings Limited.",305, $0.66 ,0.0042,"72,601,600.00",50.00%,156.9,, NA ,313.8,219.5,131.87,151.96,167.23,17.04%,87.65%,"-47,911.00","-111,186.00","-40,110.00","-8,143.00","-45,840.00","-60,568.00",-5%,8.24%,
ComNet,Navigation & Mapping,NY Stock Exchange,LHX [XNYS],"L3HARRIS TECHNOLOGIES, INC. (XNYS:LHX)","L3Harris Technologies Inc. is a global aerospace and defense technology company. The Company operates through three segments. The Integrated Mission Systems segment includes multi-mission intelligence, surveillance and reconnaissance systems; integrated electrical and electronic systems for maritime platforms; advanced electro-optical and infrared solutions; fuzing and ordnance systems; commercial aviation products, and commercial pilot training operations. The Space & Airborne Systems segment includes space payloads, sensors and full-mission solutions; classified intelligence and cyber; avionics; electronic warfare, and mission networks for air traffic management operations. The Communication Systems segment includes tactical communications with global communications solutions; broadband communications; integrated vision solutions; and public safety radios, system applications and equipment. The Company is also engaged in the Link 16 Tactical Data Links (TDL) business.",40, $191.90 ,0.0152,"36,356,100,000.00",71.00%,"12,647.94",39.9,"17,814","17,542.00","17,677.00","6,182.00","5,900.00","5,992.00",24.35%,197.30%,"1,842.00","1,086.00","1,389.00",718,553,324,42%,468.52%,
ComNet,Navigation & Mapping,XNAS|NASDAQ,SATS [XNAS],SES SA (XPAR:SESG),"SES SA is a Luxembourg-based provider of satellite communications and broadcasting services. Together with its numerous direct and indirect subsidiaries located in Europe, Americas, Africa and Asia, the Company provides satellite-delivered services for broadcasting and media distribution, including television and radio programming. The Company operates a multi-orbit constellation of satellites including the Medium Earth Orbit O3b system. The Company helps broadcasters to deliver their television channels, delivers connectivity to companies through networks, and offers secure communication links for governments and international institutions and ensures reliable navigation services. The Company is a partner to telecommunications companies, mobile network operators, governments, connectivity and cloud service providers, broadcasters, video platform operators and content owners. The Company delivers media services for both linear and non-linear content.","275,101", $5.31 ,0.0028,"2,340,183,000.00",95.00%,"1,885.75",0,"1,985","1,887.00","1,886.08","2,091.30","1,885.50","1,447.22",6.52%,37.16%,"217,010.00","112,473.00","73,077.00","36,137.00","30,562.00","121,859.00",12%,78.08%,
ComNet,Navigation & Mapping,London Stock Exchange,ORBC [XMEX],ORBCOMM INC. (XLON:0A7Z),"ORBCOMM Inc. is a provider of Internet of Things (IoT) solutions, including network connectivity, devices, device management and Web reporting applications. The Company's IoT products and services are designed to track, monitor and manage security for a range of assets, such as trailers, trucks, rail cars, sea containers, generators, fluid tanks, marine vessels, diesel or electric powered generators (gensets), oil and gas wells, pipeline monitoring equipment, irrigation control systems, and utility meters, in industries for transportation and supply chain, heavy equipment, fixed asset monitoring, maritime and government. It also provides Automatic Identification System (AIS) data services to assist in vessel navigation and to manage maritime safety for government and commercial customers across the world. It provides its services using various network platforms, including its own constellation of low-Earth orbit (LEO) satellites.",40, $11.18 ,0.0703,"890,556,900.00",64.00%,159.01,, NA ,248.46,272.01,276.14,254.2,186.7,7.41%,33.08%,,-33.94,-18.42,-61.28,-23.51,-23.23,-9%,-44.36%,
ComNet,Navigation & Mapping,XNAS|NASDAQ,TSAT [XNAS],Telesat Corporation (XNAS:TSAT),"Telesat Corporation is a Canada-based global satellite operator. The Company provides mission-critical communications solutions to support the requirements of advanced satellite users throughout the world. Its fleet consists of 14 geostationary satellites and the Canadian payload on Viasat-1. It has developed a constellation of low earth orbit (LEO) satellites and integrated terrestrial infrastructure, called Telesat Lightspeed. It provides a range of services, such as broadcast, enterprise, and consulting and other. Its broadcast services include direct-to-home television, video distribution and contribution, and occasional use services. Its enterprise telecommunication carrier and integrator, government, consumer broadband, resource, maritime and aeronautical, retail and satellite operator services. Its consulting and other services include consulting services related to space and earth segments, government studies, satellite control services, and research and development.","36,161", $8.94 ,0.0214,"444,311,200.00",55.00%,417.02,9.22,758,820.47,910.89,902.93,927.41,,-4.91%,-90.63%,103.54,245.58,187.2,-90.94,505.05,,-49%,-79.50%,
ComNet,Navigation & Mapping,XNAS|NASDAQ,IRDM [XNAS],IRIDIUM COMMUNICATIONS INC. (XNAS:IRDM),"Iridium Communications Inc. is a commercial provider of communications services. The Company is engaged in providing mobile voice and data communications services using a constellation of orbiting satellites. It provides voice and data communications services to businesses, the United States and foreign Governments, non-Governmental organizations, and consumers via its upgraded satellite network, which has an architecture of approximately 66 operational satellites with in-orbit and ground spares and related ground infrastructure. The Company's principal lines of business include land-mobile, maritime, aviation, Internet of things (IoT), hosted payloads and other data services, and United States (U.S.) Government. Its products include Satellite Handsets and Iridium GO!, Broadband Data Devices, Voice and Data Modems, and Internet of Things Data Devices. The Company sells its products and services to customers through a wholesale distribution network of approximately 85 service providers.",8, $61.71 ,0.1255,"7,770,795,000.00",80.00%,491.6,508.49,615,583.44,560.4,406.76,448,433,7.25%,41.92%,,"-56,064.00","-161,999.00","-13,384.00","233,856.00","111,032.00",above -100%,-150.49%, 
ComNet,Navigation & Mapping,XNAS|NASDAQ,GILT [XNAS],GILAT SATELLITE NETWORKS LTD. (XNAS:GILT),"Gilat Satellite Networks Ltd. is a provider of satellite-based broadband communications. The Company operates through three segments: Commercial, Mobility and Services divisions. The Company designs and manufactures satellite ground segment and networking communications equipment, which it sells to its customers either as network components (modems, Block Up converters (BUCs), antennas) or as complete network solutions (which include hubs and related terminals and services) or turnkey projects. The equipment that the Company develops includes commercial Very Small Aperture Terminals (VSAT) systems, defense and homeland security satellite communications systems, solid-state power amplifiers (SSPAs), BUCs, low-profile antennas, on-the-Move/on-the-Pause terminals and modems. The Company's equipment is used by satellite operators, service providers, telecommunications operators, system integrators, government and defense organizations, large corporations and enterprises.",40, $5.71 ,0.0459,"1,171,119,000.00",75.00%,124.41,148, NA ,165.89,263.49,266.39,282.76,279.55,-12.23%,-40.66%,,34.9,36.5,18.4,6.8,5.3,above332%,558.49%,
ComNet,Navigation & Mapping,Paris Stock Exchange,SES S.A [SESG],SES SA (XPAR:SESG),"SES SA is a Luxembourg-based provider of satellite communications and broadcasting services. Together with its numerous direct and indirect subsidiaries located in Europe, Americas, Africa and Asia, the Company provides satellite-delivered services for broadcasting and media distribution, including television and radio programming. The Company operates a multi-orbit constellation of satellites including the Medium Earth Orbit O3b system. The Company helps broadcasters to deliver their television channels, delivers connectivity to companies through networks, and offers secure communication links for governments and international institutions and ensures reliable navigation services. The Company is a partner to telecommunications companies, mobile network operators, governments, connectivity and cloud service providers, broadcasters, video platform operators and content owners. The Company delivers media services for both linear and non-linear content.","275,101", $5.31 ,0.0033,"2,340,183,000.00",90.00%,1603.8,0,"1,782","1,876.00","1,983.00","2,010.00","2,035.00","2,068.00",-2.93%,-16.05%,468,-102,365.4,244.8,597.9,964.7,-13%,-51.49%,
ComNet,Navigation & Mapping,NY Stock Exchange,HEI [XNYS],HEICO CORPORATION (XNYS:HEI),"HEICO Corporation is a manufacturer of jet engine and aircraft component replacement parts. The Company operates through two segments: Flight Support Group (FSG) and Electronic Technologies Group (ETG). The FSG segment consists of HEICO Aerospace Holdings Corp. and HEICO Flight Support Corp. and their subsidiaries. The FSG segment designs and manufactures jet engine and aircraft component replacement parts. In addition, the FSG segment repairs, overhauls and distributes jet engine and aircraft components, avionics and instruments for domestic and foreign commercial air carriers and aircraft repair companies, as well as military and business aircraft operators. The ETG segment consists of HEICO Electronic Technologies Corp. and its subsidiaries. ETG segment designs, manufactures and sells various types of electronic, data and microwave, and electro-optical products, including infrared simulation and test equipment, laser rangefinder receivers and electrical power supplies.","611,288", $173.74 ,0.1874,"20,963,610,000.00",49.70%,926.91,63.62,"1,865","1,787.00","2,055.65","1,777.00","1,524.80","1,376.00",6.27%,35.54%,392.9,376.64,327.9,259.23,185.98,156.1,20%,151.70%,
