Ticker,Planets,Stock Price,Consensus, Average Price target 12 months ,Average price % change 12M, revenue Average 1Y $Bn , revenue Average 2Y  , revenue Average 3Y  ,revenue growth 1Y ,revenue growth 2Y ,revenue growth 3Y , EPS Forecast 1Y , EPS Forecast 2Y , EPS Forecast 3Y ,% growth EPS Forecast 1Y,% growth EPS Forecast 2Y,%growth EPS Forecast 3Y
RTX [XNYS],RAYTHEON TECHNOLOGIES CORPORATION (XNYS:RTX), $95.46 ,STRONG BUY, $112.75 ,18.68%," $68,100 "," $74,300 "," $78,900 ",5%,14.58%,21.71%, $4.77 , $5.75 , $6.61 ,69.75%,104.63%,135.23%
INSG [XNAS],INSEEGO CORP. (XNAS:INSG), $2.11 ,,,,,,,,,,,,,,,
LHX [XNYS],"L3HARRIS TECHNOLOGIES, INC. (XNYS:LHX)", $236.20 ,BUY, $263.88 ,11.44%," $17,600 "," $18,400 "," $19,000 ",1.16%,5.86%,9.25%, $13.58 , $14.82 , $15.85 ,44.93%,58.16%,69.16%
SATS [XNAS],SES SA (XPAR:SESG), $8.81 ,,,,,,,,,,,,,,,
ORBC [XMEX],ORBCOMM INC. (XLON:0A7Z), $11.18 ,,,,,,,,,,,,,,,
TSAT [XNAS],Telesat Corporation (XNAS:TSAT), $16.75 ,,,,,,,,,,,,,,,
IRDM [XNAS],IRIDIUM COMMUNICATIONS INC. (XNAS:IRDM), $37.29 ,,,,,,,,,,,,,,,
GILT [XNAS],GILAT SATELLITE NETWORKS LTD. (XNAS:GILT), $6.78 ,,,,,,,,,,,,,,,
SES S.A [SESG],SES SA (XPAR:SESG), $8.81 ,,,,,,,,,,,,,,,
HEI [XNYS],HEICO CORPORATION (XNYS:HEI), $142.21 ,,,,,,,,,,,,,,,
VSAT [XNAS],"VIASAT, INC. (XNAS:VSAT)", $37.96 ,BUY/MIXED, $63.50 ,61.87%," $3,200 "," $3,800 ",,13%,36.26%,, $-0.16 , $-0.06 , $1.31 ,,,
DISH [XNAS],DISH NETWORK CORPORATION (XNAS:DISH), $22.41 ,,,,,,,,,,,,,,,
GSAT [XNYS] ,"GLOBALSTAR, INC. (XNYS:GSAT)", $1.28 ,,,,,,,,,,,,,,,
ASTS [XNAS],"AST SPACEMOBILE, INC. (XNAS:ASTS)", $8.08 ,,,,,,,,,,,,,,,
AAC [XSTO],AAC Clyde Space AB (XSTO:AAC), $1.76 ,,,,,,,,,,,,,,,
KSS [XASX],Kleos Space SA (XASX:KSS), $0.52 ,,,,,,,,,,,,,,,
SPIR [XNYS] ,"SPIRE GLOBAL, INC. (XNYS:SPIR)", $1.45 ,,,,,,,,,,,,,,,
GRMN [XNYS],Garmin Ltd (XNYS:GRMN), $104.57 ,STRONG BUY/HOLD, $142.33 ,33.03%," $5,500 "," $5,900 "," $6,500 ",7.24%,16.91%,28.33%, $5.90 , $6.65 , $6.84 ,5.55%,18.96%,22.36%
SIRI [XNAS],SIRIUS XM HOLDINGS INC. (XNAS:SIRI), $6.39 ,,,,,,,,,,,,,,,
TMUS [XNAS],"T-MOBILE US, INC. (XNAS:TMUS)", $134.14 ,,,,,,,,,,,,,,,
PL [XNYS] ,PLANET LABS PBC (XNYS:PL), $6.21 ,,,,,,,,,,,,,,,
MAXR [XNYS],MAXAR TECHNOLOGIES INC. (XNYS:MAXR), $30.66 ,,,,,,,,,,,,,,,
BKSY [XNYS],BLACKSKY TECHNOLOGY INC. (XNYS:BKSY), $2.58 ,,,,,,,,,,,,,,,
TDY [XNYS],TELEDYNE TECHNOLOGIES INCORPORATED (XNYS:TDY), $391.77 ,,,,,,,,,,,,,,,
